タイムスタンプ,読み聞かせ日,担当したクラス [1年],担当したクラス [2年],担当したクラス [3年],担当したクラス [4年],担当したクラス [5年],担当したクラス [6年],➀読み聞かせした本　タイトル,➀作家・絵・編集者など,➀目安（1冊あたりの時間）,②読み聞かせした本　タイトル,②作家・絵・編集者など,②目安　（1冊あたりの時間）,③読み聞かせした本　タイトル,③作家・絵・編集者など,③目安（1冊あたりの時間）
2025/06/19 8:56:08,2025/06/19,４組,,,,,,ノラネコぐんだんパンこうじょう,工藤ノリコ,3分,やさいのおかな,きうちかつ,5分,,,
2025/06/19 8:56:33,2025/06/19,１組,,,,,,ひもかとおもったら…,古川タク,5分,,,,,,
2025/06/19 8:56:39,2025/06/19,２組,,,,,,このすしなあに,塚本やすし,3分,へんしんトンネル,あきやまただし,6分,,,
2025/06/19 8:58:52,2025/06/19,４組,,,,,,へんしんオバケ,あきやまただし,3分,,,,,,
2025/06/19 9:24:35,2025/06/19,３組,,,,,,ひともじえほん,"こんどうりょうへい
かきのきはらまさひろ
やまもとなおあき",5分,,,,,,
2025/06/19 15:41:12,5025/06/19,３組,,,,,,バムとケロのそらのたび,島田ゆか,5分,ブロロンどろろん,高畠那生,2分,,,
2025/06/23 8:52:33,2025/06/23,,,１組,,,,ほくのおとうさんははげだぞ,そうまこうへい,4分,へびのひみつ,内山りゅう,10分以上,,,
2025/06/23 9:21:03,2025/06/23,,,５組,,,,じゃない！,チョーヒカル,5分,,,,,,
2025/06/23 9:22:32,2025/06/23,,,４組,,,,あんぱんまん,やなせたかし,6分,,,,,,
2025/06/24 13:29:59,2026/06/23,,,２組,,,,ぼくのおじいちゃんのかお,"天野祐吉
沼田早苗",3分,まるまるまるの本,"エルヴェ•テュレ
谷川俊太郎",6分,,,
2025/06/26 13:23:55,2025/06/26,,４組,,,,,これがほんとの大きさ！,スティーブ・ジェンキンズ,8分,,,,,,
2025/06/30 11:03:58,2025/06/23,,,３組,,,,ねこいる！,たなかひかる,3分,,,,,,
2025/06/30 11:14:26,5025/06/26,,２組,,,,,バムとケロのそらのたび,島田ゆか,5分,,,,,,
2025/09/03 8:56:09,2025/09/03,,,５組,,,,おこだでませんように,くすのきしげのり,10分以上,おもちのかみさま,かとうまさふみ,5分,,,
2025/09/03 9:01:38,2025/09/03,,,１組,,,,ともだちや,内田麟太郎　降矢なな,5分,,,,,,
2025/09/03 10:29:21,2025/09/03,,,１組,,,,へんてこはやくちことば,新井洋行,5分,視覚ミステリーえほん,ウォルター•ウイック (林田康一 訳),5分,,,
2025/09/03 11:10:38,2025/09/03,,,４組,,,,おまえうまそうだな,宮西達也,8分,じゃない！,チョーヒカル,3分,,,
2025/09/03 14:27:49,2025/06/19,１組,,,,,,どうぶついろいろかくれんぼ,いしかわこうじ,3分,おやおやおやさい,石津ちひろ,2分,,,
2025/09/03 14:29:24,2025/06/23,,,３組,,,,アレクサンダとぜんまいねずみ,レオ・レオニ,8分,,,,,,
2025/09/03 14:30:42,2025/06/26,,4組,,,,,まないたにりょうりをあげないこと,シゲタサヤカ,7分,,,,,,
2025/09/03 14:32:21,2025/09/03,,,３組,,,,すてきな三にんぐみ,トミー・ウンゲラー,5分,ねこりんぴっく,益田みり,3分,なんのサンドイッチ,田中光,4分
2025/09/03 14:36:47,2025/09/03,,,３組,,,,なんのサンドイッチ？,たなかひかる,3分,,,,,,
2025/09/03 15:33:49,2025/09/03,,,２組,,,,やさしいライオン,やなせたかし,5分,キツネくんとツルくん,木坂涼,5分,おやゆびさん,風木一人,2分